"MPRL table v3.0"
"TableName";;"GBV 1950"
"TableID";"71a659dd-e9b5-4dfb-94de-b48d79cb61f2"
"TableType";"Material"
"Group";"#LNG082"
"TableParam1";"Reinforcement"
"TableParam2";"ECEN"
"TableParam3";""
;;
"Header";"ElementID";"E";"G";"Poisson";"UnitMass";"SpecificHeat";"ThermalExpansion";"ThermalConductivity";"Fyk";"CoeffFtkByFyk";"Epsuk";"Ftk";"Class";"Type";"Fabrication";"DiagramType";"BarSurface"
"Unit";;"MPa";"MPa";"-";"kg/m3";"K";"-";"10e-6/K";"MPa";"-";"1e-4";"MPa";"-";"-";"-";"-";"-"
"UnitCoeff";;1000000;1000000;1;1;1;1;1,00E-006;1000000;1;0,0001;1000000;;;;;
"Data"
"QR22";"{df8ee2d9-eb47-404c-b60c-7da166736d73}";200000;83333,33333;0,2;7850;0,49;1E-05;50200000;220;1;500;220;"B";"Bars";"HotRolled";"BilinerWithOutAnInclinedTopBranch";"Smooth"
"QR24";"{7aed8a74-1649-4e13-91dc-bc583657b3a0}";200000;83333,33333;0,2;7850;0,49;1E-05;50200000;240;1;500;240;"B";"Bars";"HotRolled";"BilinerWithOutAnInclinedTopBranch";"Smooth"
"QR30";"{c149547d-1b92-4fd2-8bc4-aa4903f5db15}";200000;83333,33333;0,2;7850;0,49;1E-05;50200000;300;1;500;300;"B";"Bars";"HotRolled";"BilinerWithOutAnInclinedTopBranch";"Smooth"
"QR36";"{20953cbb-effd-4231-a367-5e3cec276505}";200000;83333,33333;0,2;7850;0,49;1E-05;50200000;360;1;500;360;"B";"Bars";"HotRolled";"BilinerWithOutAnInclinedTopBranch";"Smooth"
"QR42";"{5eea8ce7-2af4-4143-b13e-7cc501db3325}";200000;83333,33333;0,2;7850;0,49;1E-05;50200000;420;1;500;420;"B";"Bars";"HotRolled";"BilinerWithOutAnInclinedTopBranch";"Smooth"
