"MPRL table v3.0"
"TableName";;"GBV 1962"
"TableID";"265fbf4a-7cae-484d-9e03-039b0502ac24"
"TableType";"Material"
"Group";"#LNG080"
"TableParam1";"Concrete"
"TableParam2";"ECEN"
"TableParam3";""
;;
"Header";"ElementID";"E";"G";"Poisson";"UnitMass";"SpecificHeat";"ThermalExpansion";"ThermalConductivity";"Ecm";"Fck";"Fcm";"Fctm";"Fctk_0_05";"Fctk_0_95";"NFactor";"Epsc1";"Epsc2";"Epsc3";"Epscu1";"Epscu2";"Epscu3";"StoneDiameter";"CementClass";"AggregateType";"DiagramType";"PlainConcreteDiagram";"SilicaFume";"CalculateDependentValues"
"Unit";;"MPa";"MPa";"-";"kg/m3";"K";"-";"10e-6/K";"MPa";"MPa";"MPa";"MPa";"MPa";"MPa";"-";"1e-4";"1e-4";"1e-4";"1e-4";"1e-4";"1e-4";"mm";"-";"-";"-";"-";"boolean";"boolean"
"UnitCoeff";;1000000;1000000;1;1;1;1;1,00E-006;1000000;1000000;1000000;1000000;1000000;1000000;1;0,0001;0,0001;0,0001;0,0001;0,0001;0,0001;0,001;;;;;;;
"Data"
"K160";"{80905e8f-e0df-4d2b-a28a-c83f37b1e9f0}";25796,2963339959;10748,4568058316;0,2;2450;0,75;1,2E-05;800000;25796,2963339959;9;17;1,29802461327667;0,908617229293667;1,68743199725967;2;16,847567522801;20;17,5;35;35;35;16;1;0;1;"False";"False";"True"
"K225";"{f79abc25-6577-49ce-96bb-6c037c15c9b6}";27484,539780295;11451,8915751229;0,2;2450;0,75;1,2E-05;800000;27484,539780295;13;21;1,65863244410366;1,16104271087256;2,15622217733476;2;17,9881301587809;20;17,5;35;35;35;16;1;0;1;"False";"False";"True"
"K300";"{ee33958e-1363-4170-924f-5f17d8ce92d2}";29636,8341675479;12348,6809031449;0,2;2450;0,75;1,2E-05;800000;29636,8341675479;19;27;2,1361102076706;1,49527714536942;2,77694326997178;2;19,4455757732037;20;17,5;35;35;35;16;1;0;1;"False";"False";"True"
"K400";"{867b3121-3c78-49b2-9175-a7ac97e577db}";32308,2497229658;13461,7707179024;0,2;2450;0,75;1,2E-05;800000;32308,2497229658;28;36;2,76626177523507;1,93638324266455;3,59614030780559;2;21,2594397439396;20;17,5;35;35;35;16;1;0;1;"False";"False";"True"
"K450";"{4e43e413-c2d6-4a73-816c-50761e2bdd8c}";33345,7644632288;13894,0685263453;0,2;2450;0,75;1,2E-05;800000;33345,7644632288;32;40;3,0238105197477;2,11666736382339;3,930953675672;2;21,9652746169962;20;17,5;35;35;35;16;1;0;1;"False";"False";"True"
