Kunstwerk nummer    ;Type;stadsdeel;Straat;KW naam;voorgespannen;Stichtingsjaar;Gebruik;Betonsterkteklasse;Staalkwaliteit wapening;Staalkwaliteit constructiestaal;Ontwerpbelasting;Originele berekening;Modificatie berekening;Herberekening;Vlag ARB;Basale toets GHPO;Opdrachtnemer IHA;Aantal velden;Statisch systeem (zoals aangehouden in berekening);kruisingshoek;Ldag;Lth;Constructiehoogte dek;Slankheid dek lth/h;bbrugdek;Breedte noord/oost;Breedte zuid/west;Opleggingen; Orthotropie / Isotropie;Liggers in plaat;Breedte rijwegen;Breedte trambaan;Breedte fietspad;Breedte voetpad noord/oost;Breedte voetpad zuid/west;Dikte schampkant;Randbelasting ;Steunpuntswapening (langsrichting) diameter;Steunpuntswapening (langsrichting) h.o.h.-afstand;Steunpuntswapening laag;Veldwapening (langsrichting) diameter;Veldwapening (langsrichting) h.o.h.-afstand;Veldwapening (langrichting) laag;Veldwapening (dwarsrichting) diameter;Veldwapening (dwarsrichting) h.o.h.-afstand;Veldwapening (dwarsrichting) laag;Dekking buitenkant wapening;Hoogte wand;Dikte wand;Betonkwaliteit dek;kwaliteit wapeningsstaal;Paalsysteem;paalstramien ;Conditie dek;Conditie palen;link naar DMS;Opmerkingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0438;Type 1;Noord;Mosplein;Brug 438;nee;1967;Wegverkeer;K300;QR24;-;;;;;oranje/groen;nvt;;1;stat.bepaald;79;9500;9900;var.;ca. 15;24846-27350;"14198;14899";"10648;12451";Lijn;Orthotropie;Nee;"21209;23550";-;-;"1819;1824";"1818;1976";40;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0463;Type 0;West;Polonceaukade;Brug 463;nee;1997;Wegverkeer;;;-;;;;;oranje/groen;groen;;1;stat.bepaald;90;6000;7550;400;18.88;9000;5575;3425;Lijn;Orthotropie;Nee;6000;-;-;2150;500;"80;75";ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0486;Type 3;Centrum;De Ruijterkade;Brug 486;ja;2002;Wegverkeer en tram;;;-;;;;;oranje/groen;nvt;;4;stat. onbepaald;ca. 84;"6710;6650;6650;8960";"7500; 7500; 7500; 9635";600;"12.5;12.5;12.5;16.06";var.;;;Oplegblokken;Orthotropie;Nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0488;Type 2;Noord;Coentunnelcircuit;Brug 488;nee;1966;Wegverkeer;;;-;;;;;oranje/groen;nvt;;2;stat. onbepaald;90;"12400; 12400";"13000; 13000";600;"21.67; 21.67";10850;5425;5425;Oplegblokken;Orthotropie;Nee;9250;-;-;-;-;180;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0493;Type 3;Noord;Johan van Hasseltweg;Brug 493;nee;1967, 2009;Wegverkeer;K300;QR24;-;;;;;oranje/groen;nvt;;2;stat. onbepaald;var.;"10180;10180";"11550; 11550";700;"16.5; 16.5";;;;;Orthotropie;Nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0494;Type 0;Noord;Johan van Hasseltweg;Wingerdwegbrug;ja;1966;Wegverkeer;K300;QR24;-;;;;;oranje/groen;nvt;;1;stat.bepaald;90;10900;11350;600;18.92;21720;10860;10860;Oplegblokken;Orthotropie;Nee;14292;-;-;1718;1718;150;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0505;Type 2;Zuid;Koenenkade;Brug 505;ja;1955;Wegverkeer;;;-;;;;;rood/ oranje;nvt;;1;momentvast met onderbouw;90;22000;24200;350;69.14;13400;6700;6700;Aan elkaar gestort;Orthotropie;Ja;4200;-;-;3800;3800;60;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0609;Type 2;Nieuw-West;Burgemeester Fockstraat;Ina Bourdier-Bakkerbrug;nee;1954;Wegverkeer;;;-;;;;;puur oranje;groen;;3;stat. onbepaald;90;"7500; 10000; 7500";"8062.5; 10500;8062.5";460;"17.53; 22.83; 17.53";17780;8890;8890;Lijn;Orthotropie;Nee;10000;-;3500;1750;1750;100;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0612;Type 2;Nieuw-West;Burgemeester Röellstraat;Neel Doffbrug;nee;1954;Wegverkeer en tram;;;-;;;;;oranje/groen;nvt;;4;stat. onbepaald;90;"11450; 11350;12600; 9050";"11900; 11750; 13000; 9575";500;"23.8; 23.5; 26; 19.15";36500;18250;18250;Oplegblokken;Orthotropie;Nee;16000;10000;4500;2450;2450;100;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0638;Type 2;Nieuw-West;J.M. Den Uylstraat;Ria Beckersbrug;nee;1963;Wegverkeer;;;-;;;;;puur oranje;nvt;;2;stat. onbepaald;90;"8275;8275";"9300;9300";630;"14.76; 14.76";19500;9750;9750;Oplegblokken;Orthotropie;Nee;10000;-;-;4000;4000;75;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
