Kunstwerk nummer    ;Type;stadsdeel;Straat;KW naam;voorgespannen;Stichtingsjaar;Gebruik;Betonsterkteklasse;Staalkwaliteit wapening;Staalkwaliteit constructiestaal;Ontwerpbelasting;Originele berekening;Modificatie berekening;Herberekening;Vlag ARB;Basale toets GHPO;Opdrachtnemer IHA;Aantal velden;Statisch systeem (zoals aangehouden in berekening);kruisingshoek;Ldag;Lth;Constructiehoogte dek;Slankheid dek lth/h;bbrugdek;Breedte noord/oost;Breedte zuid/west;Opleggingen; Orthotropie / Isotropie;Liggers in plaat;Breedte rijwegen;Breedte trambaan;Breedte fietspad;Breedte voetpad noord/oost;Breedte voetpad zuid/west;Dikte schampkant;Randbelasting ;Steunpuntswapening (langsrichting) diameter;Steunpuntswapening (langsrichting) h.o.h.-afstand;Steunpuntswapening laag;Veldwapening (langsrichting) diameter;Veldwapening (langsrichting) h.o.h.-afstand;Veldwapening (langrichting) laag;Veldwapening (dwarsrichting) diameter;Veldwapening (dwarsrichting) h.o.h.-afstand;Veldwapening (dwarsrichting) laag;Dekking buitenkant wapening;Hoogte wand;Dikte wand;Betonkwaliteit dek;kwaliteit wapeningsstaal;Paalsysteem;paalstramien ;Conditie dek;Conditie palen;link naar DMS;Opmerkingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0771;Type 2;Nieuw-West;Louis Davidstraat;Brug 771;nee;1964;Wegverkeer;;;;;;;;oranje/groen;nvt;;3;stat. onbepaald, mom.vast met onderbouw;90;"8066; 11300; 8066";"8371; 11840; 8371";400;"20.9; 29.6";18820;9410;9410;Aan elkaar gestort;Orthotropie;Nee;10000;-;-;4000;4000;40;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0858;Type 0;Zuid;Parnassusweg;Brug 858;ja;1972;Wegverkeer;B37.5;B40;-;;;;;oranje/groen;rood;;1;stat.bepaald;90;12000;12785;450;28.41;24450;10125;14275;Lijn;Orthotropie;Nee;22150;-;-;800;750;100;ja;12;200;2;12;200;2;16;125;1;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0863;Type 2;Zuid;Strawinskylaan;Brug 863;nee;1978;Wegverkeer en tram;B22.5;B400;-;;;;;oranje/groen;;;3;stat. onbepaald;90;"10975; 11050; 10975";"11700; 12000; 11700";530;"22.08; 22.64; 22.08";27600;13800;13800;Oplegblokken;Orthotropie;Nee;12000;12000;-;1415;1415;110;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0864;Type 0;Zuid;Strawinskylaan;Brug 864;nee;1977;Wegverkeer en tram;B22.5;B400;-;;;;;oranje/groen;;;1;stat.bepaald;90;10400;11200;650;17.23;31070;16035;14085;Lijn;Orthotropie;Nee;15000;12000;-;1585;1585;80;ja;16;150;1;32;145;1;16;135;2;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0866;Type 0;Zuid;Beethovenstraat ;Brug 866;nee;1977;Wegverkeer;B22.5;B400;-;;;;;oranje/groen;nvt;;1;stat.bepaald;90;10400;10900;550;19.82;28677;9539;19138;Lijn;Orthotropie;Nee;24236;-;-;1926;1555;80;ja;16;150;1;32;145;1;16;135;2;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0912;Type 1;Noord;Cecilia van Alphen-Jagtmanbrug;Cecilia van Alphen-Jagtmanbrug;nee;1904/1970;Wegverkeer;;;;;;;;puur oranje;Wel;;1;stat.bepaald;ca. 80;4300;4510;400;11.28;6000-7600;;;Lijn;Orthotropie;Nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1135;Type 2;Zuidoost;s-Gravendijkdreef;Brug 1135;nee;1971;Wegverkeer;;;;;;;;puur oranje;;;3;stat. onbepaald;90;"7700; 8400; 7700";"8250; 9000; 8250";550;"15; 16.36; 15";9500;4750;4750;Oplegblokken;Orthotropie;Nee;4500;-;2100;0;2100;100;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1268;Type 2;Oost;Gooiseweg;Brug 1268;ja;1990;Wegverkeer;B37.5;B500;-;;;;;oranje/groen;nvt;;2;stat. onbepaald;90;;"23950; 32300";800-1200;"29.94-19.96; 40.38-26.92";14110;8860;5250;Oplegblokken;Orthotropie;Nee;11600;-;-;-;-;-;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1373;Type 2;Zuidoost;Westbroekstraat;Brug 1373;nee;1982;Wegverkeer;B22.5;B400;-;;;;;puur oranje;;;3;stat. onbepaald;90;"15100; 15000; 15100";"15850; 16000; 15850";700;"22.57; 22.86; 22.57";8172;4086;4086;Oplegblokken;Orthotropie;Nee;5000;-;-;606;606;141;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1477;Type 1;Zuidoost;Loosdrechtdreef;Brug 1477;ja;1977;Wegverkeer;;;-;;;;;oranje/groen;nvt;;1;stat.bepaald;90;13500;14500;600;24.17;14000;4400;9600;Lijn;Orthotropie;Nee;9600;-;4400;-;-;40;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1580;Type 3;Nieuw-West;Henk Sneevlietweg;Brug 1580;;;;;;;;;;;oranje/groen;nvt;;2;stat. onbepaald;90;;"28250; 28250";750-1083;"37.66-26.08; 37.66-26.08";13400-17995;;;Lijn;Orthotropie;Nee;;;;;;;;;;;;;;;;;;;;;;;;;;;Wegindeling niet bekend;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1581;Type 3;Nieuw-West;Cornelis Lelylaan;Brug 1581;ja;1971;Wegverkeer en tram;;QR24-QR40;-;;;;;oranje/groen;nvt;;2;stat. onbepaald;90;;"25000;25000";600-900;"41.66-27.78;41.66-27.78";18800;9400;9400;Lijn;Orthotropie;Nee;12430;7380;-;4500;-;180;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1582;Type 3;West;Jan van Galenstraat;Brug 1582;ja;1968;Wegverkeer;360 kg/m^3;QR24-QR40;-;;;;;oranje/groen;nvt;;2;stat. onbepaald;90;;"25000;25000";600-901;"41.66-27.78;41.66-27.78";21000;10500;10500;Lijn;Orthotropie;Nee;;;;;;;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1583;Type 2;Noord;Nieuwe Leeuwarderweg;Brug 1583;ja;1987;Wegverkeer;B37.5;B400;-;;;;;oranje/groen;nvt;;3;stat. onbepaald;ca. 77;;"24733; 21420; 24733";740-1100;"33.42-22.48; 33.42-22.48";25681-25756;;;Lijn;Orthotropie;Nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1709;Type 0;Noord;Vikingpad;Brug 1709;nee;1993;Wegverkeer;B25;B500;-;;;;;oranje/groen;;;1;stat.bepaald;83;14000;14600;600;24.33;7650;3825;3825;Lijn;Orthotropie;Nee;5000;-;-;-;1500;10;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1711A;Type 0;Noord;Zuiderzeeweg;Brug 1711;nee;1990;Wegverkeer;;;;;;;;oranje/groen;nvt;;1;stat.bepaald;90;13800;14300;750;19.07;9650;4950;4700;Lijn;Orthotropie;Nee;6300;-;-;-;-;;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1711B;Type 0;Noord;Zuiderzeeweg;Brug 1711;nee;1990;Wegverkeer;;;;;;;;oranje/groen;nvt;;1;stat.bepaald;90;13800;14300;750;19.07;13050;8000;5050;Lijn;Orthotropie;Nee;6300;-;-;-;-;;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1714A;Type 0;Noord;Nieuwe Leeuwarderweg;Brug 1711/KW510 A;ja;1985;Wegverkeer;;;-;;;;;oranje/groen;nvt;;1;stat.bepaald;90;;15420;650;23.72;25600;20250;5350;Oplegblokken;Orthotropie;Nee;20835;-;3500;-;-;-;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1714B;Type 0;Noord;Nieuwe Leeuwarderweg;Brug 1711/KW510 B;ja;1985;Wegverkeer;;;-;;;;;oranje/groen;nvt;;1;stat.bepaald;90;;15420;650;23.72;14110;5000;6450;Oplegblokken;Orthotropie;Nee;12570;-;-;-;-;-;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1722;Type 0;Noord;Ijdoornlaan ;Brug 1722;nee;1988;Wegverkeer;;;-;;;;;oranje/groen;nvt;;1;stat.bepaald;90;5200;5650;400;14.13;17970;;;;Orthotropie;Nee;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1725;Type 0;Noord;Ijdoornlaan ;Blazerpadbrug;nee;1991;Wegverkeer;;;-;;;;;oranje/groen;nvt;;1;stat.bepaald;90;11400;11900;550;21.64;9300;4650;4650;Lijn;Orthotropie;Nee;8500;-;-;-;-;-;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1726;Type 2;Noord;Ijdoornlaan ;Brug 1726;nee;1991;Wegverkeer;;;-;;;;;oranje/groen;nvt;;3;stat. onbepaald;90;"18265; 21870; 18265";"19415; 23670; 19415";800;"24.27; 29.59; 24.27";14150;7075;7075;Lijn;Orthotropie;Nee;8250;-;3500;1600;-;100;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1727;Type 0;Noord;Ijdoornlaan ;Brug  1727;nee;1990;Wegverkeer;;;-;;;;;oranje/groen;nvt;;1;stat.bepaald;90;11400;11900;550;21.64;9300;4650;4650;Lijn;Orthotropie;Nee;8500;-;-;-;-;-;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1749;Type 2;Noord;Zuiderzeeweg;Brug 1749;ja;1989;Wegverkeer;B37.5;B500;-;;;;;oranje/groen;nvt;;2;stat. onbepaald;90;"25902;25902";"27352; 27352";1000;"27.35;27.35";21400;10700;10700;Oplegblokken;Orthotropie;Nee;16800;-;-;-;-;-;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1818;Type 2;Nieuw-West;Terheideweg;Brug 1818;nee;1990;Wegverkeer;;;-;;;;;oranje/groen;;;1;onbekend;90;;17500;700;25;8620;4310;4310;;Orthotropie;Nee;5700;-;-;1060/760;1060/760;130;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1826A;Type 0;Nieuw-West;Anderlechtlaan;Brug 1826 A;nee;1990;Wegverkeer;;;-;;;;;oranje/groen;;;1;stat.bepaald;90;8000;8500;430;19.77;16130;7795;7555;Lijn;Orthotropie;Nee;8175;-;-;6045;-;125;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1826B;Type 0;Nieuw-West;Anderlechtlaan;Brug 1826 B;nee;1990;Wegverkeer;;;-;;;;;oranje/groen;;;1;stat.bepaald;90;8000;8500;430;19.77;9655;4675;4980;Lijn;Orthotropie;Nee;5220;-;-;-;2500;110;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1945;Type 2;Nieuw-West;Radarweg;Brug 1945;ja;1980;Wegverkeer;B37.5;B400;-;;;;;oranje/groen;nvt;;4;stat. onbepaald;90;"22300; 22300; 22300; 22300";"23300; 23000; 23000; 23300";800;"29.13; 28.75; 28.75; 29.13";20200;9600;10600;Lijn;Orthotropie;Nee;15000;-;-;4000;-;;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU1958;Type 3;Nieuw-West;Seineweg;Brug 1958;nee;1995;Wegverkeer;B35;B500 ;-;;;;;oranje/groen;nvt;;2;stat. onbepaald;90;"5350; 5350";"5950; 5950";350;"17; 17";35450-43118;17725-21559;17725-21560;Lijn;Orthotropie;Nee;;;;;;;;;;;;;;;;;;;;;;;;;;;Wegindeling niet bekend;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU2003;Type 2;Oost;Diemerparklaan;Brug 2003;ja;2001;Wegverkeer;;;-;;;;;oranje/groen;;;2;stat. onbepaald;90;;"17200; 22376";550-890;"31.27-19.33; 40.68-25.14";6300;3150;3150;Oplegblokken;Orthotropie;Nee;6000;-;-;-;-;180;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU2018A;Type 0;Oost;Maria Austriastraat;Brug 2018 A;nee;2002;Voetbad;;;-;;;;;oranje/groen;;;1;stat.bepaald;90;8000;8720;500;17.44;4706;2353;2353;Lijn;Orthotropie;Nee;-;-;-;3850;-;-;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU2018B;Type 0;Oost;Maria Austriastraat;Brug 2018 B;nee;2002;Wegverkeer;;;-;;;;;oranje/groen;;;1;stat.bepaald;90;8000;8720;700;12.46;8856;4428;4428;Lijn;Orthotropie;Nee;8000;-;-;-;-;-;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU2018C;Type 0;Oost;Maria Austriastraat;Brug 2018 C;nee;2002;Voetbad;;;-;;;;;oranje/groen;;;1;stat.bepaald;90;8000;8720;500;17.44;4706;2353;2353;Lijn;Orthotropie;Nee;-;-;-;3850;-;-;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU2026A;Type 0;Oost;Pampuslaan;Brug 2026 A;nee;2004;Trambaan;;;-;;;;;oranje/groen;nvt;;1;stat.bepaald;90;12116;11716;820;14.29;9930;4965;4965;Lijn;Orthotropie;Nee;-;9330;-;-;-;-;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU2026B;Type 0;Oost;Pampuslaan;Brug 2026 B;nee;2004;Wegverkeer;;;-;;;;;oranje/groen;nvt;;1;stat.bepaald;90;12116;11716;520;22.53;6050;3025;3025;Lijn;Orthotropie;Nee;4750;-;-;-;-;110;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU2026C;Type 0;Oost;Pampuslaan;Brug 2026 C;nee;2004;Fietspad/voetpad;;;-;;;;;oranje/groen;nvt;;1;stat.bepaald;90;12116;11716;370;31.66;4585;2292.5;2292.5;Lijn;Orthotropie;Nee;-;-;2365;2220;-;-;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU2033;Type 0;Oost;Peter Martensstraat;Brug 2033;ja;2004;Wegverkeer;B55;B500;-;;;;;oranje/groen;nvt;;1;stat.bepaald;90;15936;17836;890;20.04;6385;3192.5;3192.5;Oplegblokken;Orthotropie;Nee;6000;-;-;-;-;200;ja;12;150;2;12;150;2;20;100;1;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU2044A;Type 0;Oost;Erich Salomonstraat;Brug 2044 A;nee;2002;Voetbad;;;-;;;;;oranje/groen;;;1;stat.bepaald;90;8000;8720;500;17.44;4706;2353;2353;Lijn;Orthotropie;Nee;-;-;-;3850;-;-;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU2044B;Type 0;Oost;Erich Salomonstraat;Brug 2044 B;nee;2002;Wegverkeer;;;-;;;;;oranje/groen;;;1;stat.bepaald;90;8000;8720;700;12.46;8856;4428;4428;Lijn;Orthotropie;Nee;8000;-;-;-;-;-;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU2044C;Type 0;Oost;Erich Salomonstraat;Brug 2044 C;nee;2002;Voetbad;;;-;;;;;oranje/groen;;;1;stat.bepaald;90;8000;8720;500;17.44;4706;2353;2353;Lijn;Orthotropie;Nee;-;-;-;3850;-;-;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU2046;Type 2;Oost;Jaap Speyerstraat;Brug 2046;ja;2004;Wegverkeer;B55;B500;-;;;;;oranje/groen;;;2;stat. onbepaald;90;;"19418; 19418";550-890;"35.31-21.82; 35.31-21.82";6300;3150;3150;Oplegblokken;Orthotropie;Nee;6000;-;-;-;-;180;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU2047;Type 2;Oost ;Fritz Dietrich Kahlenbergstraat;Brug 2047;ja;2004;Wegverkeer;B55;B500;-;;;;;oranje/groen;;;2;stat. onbepaald;90;;"19418; 19418";550-890;"35.31-21.82; 35.31-21.82";6300;3150;3150;Oplegblokken;Orthotropie;Nee;6000;-;-;-;-;180;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU2196;Type 2;Duivendrecht;Johannes Blookerweg;Brug 2196;ja;1989;Wegverkeer;B37.5;B400;-;;;;;oranje/groen;nvt;;2;stat. onbepaald;90;"30400; 30400";"32000;32000";805-1369;"39.75-23.37;39.75-23.37";11300;5650;5650;Oplegblokken;Orthotropie;Nee;8700;-;-;-;-;90;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU2272;Type 0;Nieuw-West;Sam van Houtenstraat;Brug 2272;ja;2002;Wegverkeer;B55;B500;-;;;;;puur oranje;Geen;;1;stat.bepaald;90;28830;29805;1175;25.37;10830;5415;5415;Oplegblokken;Orthotropie;Nee;5950;-;-;2025;2025;175;ja;12;150;2;12;150;2;16;75;1;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU2388;Type 0;Nieuw-West;Kortrijk;Brug 2388;nee;1994;Wegverkeer;B35;B500;-;;;;;rood/ oranje;;;1;stat.bepaald;90;;6500;400;16.25;8000;;;Lijn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
